word,English,Português
jump,jump,saltar
right,right,direita
left,left,esquerda
climb,climb,escalar
interact,interact,interagir
hide,hide,esconder
scratch,scratch,arranhar
sleep,sleep,dormir
tutorial_direita,"Control the cat by writing its story. Try typing 'right'.","Controlas o gato ao escrever a história dele. Tenta escrever 'direita'."
menu_language,Language,Idioma
settings,Settings,Definições
glossary,glossary,glossário
up,up,cima
down,down,baixo
awake,awake,acorda
meow,meow,miau
pause,pause,pausar
music,Music,"Música"
sound,Sounds,"Sons"
about,About,Sobre
play,Play,Jogar
quit,Quit,Sair
back,Back,Voltar
unlocked_words_phrase,"You can see all your unlocked words by pressing Tab at any moment.","Podes ver todas as palavras desbloqueadas pressionando Tab a qualquer momento."
resume,Resume,Continuar
back_to_main_menu,Main Menu,Menu Principal
paused,Paused,Pausado
unlock_new_words,"Unlock new words by collecting letters!","Desbloqueia novas palavras ao coletar letras!"
sleep_story_phrase,"Look at the time! I’ll tell you a story to help you sleep.","Olha as horas! Vou te contar uma história para adormeceres."
confirm_main_menu_short_phrase,"Go back to the main menu?\nYour progress will be lost.","Voltar ao menu principal?\nVais perder o teu progresso."
yes,Yes,Sim
no,No,Não
unlocked_words,"Unlocked words:","Palavras disponíveis:"
level_one_story,"In November 1147, King Afonso Henriques decided to conquer Óbidos, knowing it was a much stronger stronghold than the others.\nThe attack was planned for the following dawn, with the help of Gonçalo Mendes da Maia, known as the Lidador.","Em Novembro de 1147, D. Afonso Henriques, decide-se pela conquista de Óbidos por saber que esta era uma praça muito mais forte que as outras.\nO ataque foi planeado para a madrugada seguinte, com a ajuda de Gonçalo Mendes da Maia, o Lidador."
level_two_story,"During the night, a mysterious young woman sought out the king and revealed a dream that had repeated itself for three nights: a man told her that Óbidos would be delivered to the Christians if the king launched a surprise attack at the front of the castle, while the Lidador, with a few men, would enter through the rear by means of a gate she would open.","Durante a noite, uma jovem misteriosa procurou o rei e revelou um sonho que se repetia há três noites: um homem lhe dizia que Óbidos seria entregue aos cristãos se o rei atacasse de surpresa pela frente do castelo, enquanto o Lidador, com alguns homens, entraria pelas traseiras através de uma porta que ela abriria."
level_three_story_one,"The Moors, knowing the castle was poorly guarded, returned and reconquered the town, leaving it under the watch of an old Moor who lived with his beautiful daughter.\nThe young woman was at the window when she noticed strange movements in the outskirts of the town.","Os moiros, sabendo que o castelo se mantinha com guarda fraca, regressaram e conquistaram de volta a localidade, deixando como seu guardião, um velho moiro que vivia com sua linda filha.\nEstava a jovem à janela,quando avistou movimentos estranhos no Arrabalde."
level_three_story_two,"Then the beautiful princess asked her old father:\n— Father, is the brushwood walking?\nTo which the father replied:\n— Yes, my daughter, if it is being carried.","Então, a linda princesa perguntou ao seu velho pai:\n– Pai, o mato anda?\nAo que o pai respondeu:\n– Sim, minha filha, se o levam."
prologue,"And indeed, they were the king’s warriors, advancing cautiously toward the castle, camouflaged with branches and brushwood they had cut.\nÓbidos was conquered exactly as in the mysterious young woman’s dream. She was never seen again, and the gate that allowed the Christians to enter became forever known as the Gate of Treachery.","E, de facto, eram os guerreiros do rei, que avançavam cautelosamente para o Castelo, camuflados com o mato que iam cortando.\nÓbidos foi conquistada conforme o sonho da misteriosa jovem, que nunca mais foi vista e a porta que franqueou a entrada dos cristãos ficou para sempre conhecida como a Porta da Traição."
ok,ok,ok
write_ok_to_continue,"Write OK to continue.","Escreve OK para continuar."
